Date,Weight (kg),Calorie (kcal),Steps,Protein (g),Carbohydrate (g),fat (g),Workout (0/1),Sleep (Hours)
12/26/2025,78.8,1583,8421,162,141,52,1,5.4
12/27/2025,78.5,1511,9132,174,128,48,1,5.7
12/28/2025,78.7,1472,10352,171,122,48,1,5.9
12/29/2025,78.5,1624,8871,166,153,51,0,5.2
12/30/2025,78,1638,9174,168,156,51,0,5.2
12/31/2025,78.1,1493,11002,179,119,46,1,6.1
1/1/2026,77.4,1491,11028,176,118,46,1,6.1
1/3/2026,77.1,1556,9865,182,129,49,1,5.6
1/4/2026,77,1619,8120,175,152,52,0,5.3
1/5/2026,76.8,2267,8011,150,207,75,0,5.3
1/6/2026,77,1504,11241,186,117,45,1,6.2
1/7/2026,76.4,1468,12420,185,109,44,1,6.2
1/8/2026,76.6,1539,9350,181,136,47,1,5.5
1/9/2026,76.3,1527,9321,181,134,47,1,5.5
1/10/2026,76.2,1608,8610,176,148,52,0,5.1
1/11/2026,77,1594,8722,178,146,51,0,5.2
1/12/2026,76.1,1518,10432,185,123,46,1,5.8
1/13/2026,75.5,1489,11933,188,115,45,1,5.8
1/14/2026,75.7,1627,8112,176,152,53,0,5.3
1/15/2026,75.2,1578,9062,183,132,49,1,5.6
1/16/2026,75,1533,10041,181,129,48,1,6.1
1/17/2026,75.3,1511,10120,179,126,47,1,6.3
1/18/2026,74.9,1639,7821,170,161,55,0,5
1/19/2026,74.6,1622,7820,174,154,53,0,5
1/20/2026,73.7,1494,11583,186,118,46,1,5.9
1/21/2026,74.3,1496,11342,186,118,46,1,5.7
1/22/2026,74.1,1568,9120,180,137,50,1,5.5
1/23/2026,73.9,1589,8731,180,140,50,1,5.4
1/24/2026,73.9,1521,10231,184,124,47,1,6
1/25/2026,73.7,1522,9410,178,131,48,1,5.9
1/26/2026,73.9,1648,8010,169,163,55,0,5.2
1/27/2026,73.5,1641,8023,170,162,55,0,5.2
1/28/2026,73.3,1498,12112,185,116,45,1,6
1/29/2026,73.4,1498,12112,185,116,45,1,6
1/30/2026,73,1571,9022,181,133,49,1,5.6
1/31/2026,72.8,1567,8895,181,134,49,1,5.6
2/1/2026,73,1689,8120,174,168,57,0,5.3
2/2/2026,72.7,1683,8122,176,165,56,0,5.3
2/3/2026,72.5,1612,9341,181,142,51,1,5.8
2/4/2026,72.6,1597,10105,182,139,50,1,6.2
2/5/2026,72.3,1544,11240,187,121,46,1,6
2/6/2026,72.1,1528,9320,187,121,46,1,5.8
2/7/2026,72.2,1643,8510,175,153,52,0,5.4
2/8/2026,72,1654,8741,175,154,53,0,5.5
2/9/2026,71.9,1698,7980,170,168,57,0,5.2
2/10/2026,72,1712,7984,168,171,58,0,5.1
2/11/2026,71.9,1786,7321,165,182,61,0,5.2
2/12/2026,72.3,2437,6210,142,289,91,0,6.6
2/13/2026,72.8,2684,5832,149,318,97,0,6.8
2/14/2026,73.1,2816,7033,158,332,104,0,6.9
2/15/2026,72.6,2512,8410,152,287,88,1,6.2
2/16/2026,72.2,2274,8412,151,261,82,1,6.1
2/17/2026,72.7,2761,5320,139,344,108,0,6.7
2/18/2026,73.4,3059,5122,137,381,121,0,6.8
2/19/2026,72.8,2488,7421,145,284,90,0,6.3
2/20/2026,72.4,2388,7640,149,276,85,0,6.3
2/21/2026,72.6,2633,6890,153,301,92,0,6.5
2/22/2026,72.3,2591,6891,153,301,92,0,6.5
2/23/2026,72,2051,8211,166,212,68,1,5.8
2/24/2026,71.7,1943,9320,172,191,63,1,5.6
2/25/2026,71.9,1987,9322,172,198,64,1,5.7
2/26/2026,71.6,1874,10421,178,176,59,1,5.9
2/27/2026,71.8,2018,8232,170,209,66,0,5.3
2/28/2026,71.5,1894,10110,176,176,59,1,5.5
3/1/2026,71.7,2121,8421,168,231,70,0,5.2
3/2/2026,71.5,2142,8421,168,234,71,0,5.2
3/3/2026,71.8,2287,7320,160,257,78,0,5
3/4/2026,71.4,1873,11421,182,168,58,1,6
3/5/2026,71.3,1821,11204,181,165,58,1,6
3/6/2026,71.5,1984,9210,173,201,64,1,5.6
3/7/2026,71.2,1762,12002,188,142,52,1,6.2
3/8/2026,71.4,2068,9731,173,213,67,1,5.6
3/9/2026,71.6,2234,7810,164,248,74,0,5.1
3/10/2026,71.3,1932,10322,179,178,61,1,5.9
3/12/2026,71.4,2298,7122,162,261,80,0,5.3
3/13/2026,71.1,1841,11821,185,168,57,1,6.1
3/14/2026,71.5,2246,7120,162,258,79,0,5.3
3/15/2026,71.3,2179,8320,168,238,73,0,5.5
3/16/2026,71,1862,11234,181,172,60,1,6
3/17/2026,71.2,1913,10841,179,172,61,1,5.9
3/18/2026,71.4,2144,9021,170,221,69,1,5.4
3/19/2026,71.1,1888,11320,182,176,60,1,6
3/20/2026,71.3,2097,9250,170,221,69,1,5.4
3/21/2026,71.5,2321,7811,161,268,81,0,5
3/22/2026,71.2,1954,10421,176,184,63,1,5.7
3/23/2026,71.4,2016,8872,174,205,66,0,5.6
3/24/2026,72,1797,12529,147,182,42,1,7
3/25/2026,71.1,3300,8909,180,320,145,0,6.15
3/26/2026,72.3,1651,8649,152,141,51,1,7.25
3/27/2026,71.6,1627,6239,169,135,39,0,7.5
3/28/2026,71,1972,6299,181,139,63,0,10
3/29/2026,70.9,2790,6594,152,159,40,1,8
3/31/2026,71.3,2303,10906,170,273,60,1,
2/1/2026,71.5,,,,,,,
4/1/2026,71.1,1838,8190,169,141,54,0,7
